marka,model,il,yurus,muherrik,qiymet
Land,Rover Range Rover,2016,181000,3.0,70500
BMW,428,2020,202000,2.0,31500
Land,Rover Range Rover,2012,150000,5.0,31500
Mercedes,C 300,2020,184000,2.0,36500
Toyota,RAV4,2020,34000,2.5,56000
Hyundai,Palisade,2019,149800,2.2,57000
Fiat,Doblo,2008,200000,1.4,9400
Kia,Sorento,2023,5500,1.6,74000
Mercedes,S 55 AMG,2005,149000,5.4,28500
Kia,Sorento,2024,19000,1.6,67800
Opel,Astra,2007,411000,1.3,10000
Toyota,Corolla,2024,40000,1.8,30500
Opel,Zafira,2004,310665,1.8,9500
Mercedes,S 350,2020,236000,3.5,23200
BMW,X5 M,2016,126000,4.4,69500
Opel,Astra,2005,269000,1.4,10800
Mercedes,E 300 4MATIC,2017,176000,2.0,41310
BYD,Destroyer 05,2020,60000,1.5,22000
Mercedes,E 350,2020,119000,2.0,62050
BYD,Seal 05,2020,0,1.5,23900
GAZ,GAZel (33021),2020,200000,2.5,17000
Ravon,Nexia R3,2020,196000,1.5,9700
Ford,Transit,2010,170000,2.2,20500
Volkswagen,Passat (North America),2013,228000,1.8,15500
Volkswagen,Jetta,2013,329916,1.8,11500
Changan,Uni-Z,2025,0,1.5,33700
Chevrolet,Aveo,2011,350000,1.4,8500
LADA,(VAZ) 2109,2020,223000,1.5,2500
Jeep,Wrangler,2023,0,2.0,108970
Changan,Deepal S09,2020,0,1.5,70900
Land,Rover RR Sport,2023,0,3.0,229160
Hyundai,Accent,2014,326216,1.6,14900
Changan,Uni-Z,2025,0,1.5,35500
BMW,X5,2020,31000,3.0,161500
Dodge,Dart,2013,235700,1.4,14500
Land,Rover Discovery,2015,159000,3.0,43800
Hyundai,Grandeur,2023,34771,1.6,71500
Nissan,X-Trail,2003,268000,2.0,10700
Kia,Sorento,2009,163200,2.0,25200
Mercedes,E 220,2020,224000,2.1,22800
LADA,(VAZ) 2107,2020,98000,1.6,8400
Toyota,Frontlander,2025,0,2.0,42200
BMW,535,2020,236000,3.0,26800
Mercedes,C 230,2020,253000,2.3,14400
Land,Rover Range Rover,2006,245000,4.2,22800
Mitsubishi,Pajero,2008,274895,3.0,23500
Chevrolet,Cruze,2015,229000,1.4,11900
BMW,520,2020,130000,2.0,32800
