price,brand,model,year,mileage,engine_size,city,fuel_type,transmission,condition,owners,scraped_at
49000,Changan,Qiyuan Q07,2020,0,1.5,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:36
17300,Hyundai,H-1,2020,310000,2.5,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:36
33000,Changan,Uni-Z,2024,0,1.5,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:36
7000,LADA,(VAZ) 2107,2020,96000,1.6,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:36
15900,BMW,530,2020,225000,3.0,Sumqayıt,benzin,avtomat,yaxsi,1,2026-02-03 23:24:36
5700,Opel,Vita,1998,263000,1.4,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:36
28990,Ford,Mustang,2017,120000,2.3,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:36
36500,Changan,Uni-T,2023,14500,1.5,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:36
38000,HOWO,Sinotruk,2012,266000,9.5,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:36
16950,Kia,Optima,2013,215970,2.0,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:36
17800,Hyundai,Elantra,2014,371758,1.8,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:36
65450,Jeep,Wrangler,2024,45000,2.0,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:36
16500,Chevrolet,Cruze,2013,109000,1.8,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:36
9300,Mercedes,C 180,2020,352000,1.8,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:36
7300,LADA,(VAZ) 2107,2020,82000,1.6,Lənkəran,benzin,avtomat,yaxsi,1,2026-02-03 23:24:36
260100,Lexus,LX 500d,2026,0,3.3,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:36
16500,KamAz,5511,2020,253842,11.0,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:36
16800,Chevrolet,Cruze,2016,175500,1.4,Sumqayıt,benzin,avtomat,yaxsi,1,2026-02-03 23:24:36
285600,Lexus,LX 600,2020,0,3.5,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:36
135150,Ford,F-150,2020,19000,2.7,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:40
42999,Changan,Qiyuan Q07,2020,0,1.5,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:40
234122,Mercedes,GLS 450 4MATIC,2024,0,3.0,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:40
48000,GAC,Aion Hyper HT,2025,20250,2.0,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:40
18400,Mercedes,E 220,2020,261000,2.1,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:40
5900,Fiat,Punto,2007,138000,1.4,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:40
29000,Changan,Qiyuan A05,2020,19000,1.5,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:40
34600,Changan,Uni-Z,2025,0,1.5,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:40
153000,BMW,X5 M,2020,65000,4.4,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:40
27200,BMW,528,2020,195000,2.0,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:40
30100,Changan,Qiyuan Q05,2020,0,1.5,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:40
8900,SEAT,Ibiza,2012,165007,1.4,Sumqayıt,benzin,avtomat,yaxsi,1,2026-02-03 23:24:40
5000,LADA,(VAZ) 2107,2020,13058,1.7,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:40
